time_s,x_m,y_m,z_m,yaw_rad
0.000000,-0.003963500,0.000000000,0.050000001,0.000000000
0.002000,-0.003963500,0.000000000,0.050000001,0.000000000
0.022000,-0.003963500,0.000000000,0.050000001,0.000000000
0.042000,-0.003963500,0.000000000,0.050000001,0.000000000
0.062000,-0.003963500,0.000000000,0.050000001,0.000000000
0.082000,-0.003963500,0.000000000,0.050000001,0.000000000
0.102000,-0.003963500,0.000000000,0.050000001,0.000000000
0.122000,-0.003963500,0.000000000,0.050000001,0.000000000
0.142000,-0.003963500,0.000000000,0.050000001,0.000000000
0.162000,-0.003963500,0.000000000,0.050000001,0.000000000
0.182000,-0.003963500,0.000000000,0.050000001,0.000000000
0.202000,-0.003963500,0.000000000,0.050000001,0.000000000
0.222000,-0.003963500,0.000000000,0.050000001,0.000000000
0.242000,-0.003963500,0.000000000,0.050000001,0.000000000
0.262000,-0.003963500,0.000000000,0.050000001,0.000000000
0.282000,-0.003963500,0.000000000,0.050000001,0.000000000
0.302000,-0.003963500,0.000000000,0.050000001,0.000000000
0.322000,-0.003963500,0.000000000,0.050000001,0.000000000
0.342000,-0.003963500,0.000000000,0.050000001,0.000000000
0.362000,-0.003963500,0.000000000,0.050000001,0.000000000
0.382000,-0.003963500,0.000000000,0.050000001,0.000000000
0.402000,-0.003963500,0.000000000,0.050000001,0.000000000
0.422000,-0.003963500,0.000000000,0.050000001,0.000000000
0.442000,-0.003963500,0.000000000,0.050000001,0.000000000
0.462000,-0.003963500,0.000000000,0.050000001,0.000000000
0.482000,-0.003963500,0.000000000,0.050000001,0.000000000
0.502000,-0.003963500,0.000000000,0.050000001,0.000000000
0.522000,-0.003963500,0.000000000,0.050000001,0.000000000
0.542000,-0.003963500,0.000000000,0.050000001,0.000000000
0.562000,-0.003963500,0.000000000,0.050000001,0.000000000
0.582000,-0.003963500,0.000000000,0.050000001,0.000000000
0.602000,-0.003963500,0.000000000,0.050000001,0.000000000
0.622000,-0.003963500,0.000000000,0.050000001,0.000000000
0.642000,-0.003963500,0.000000000,0.050000001,0.000000000
0.662000,-0.003963500,0.000000000,0.050000001,0.000000000
0.682000,-0.003963500,0.000000000,0.050000001,0.000000000
